NO_OF_FRAMES	12045
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-02, 15:40:42	3295540.06893052
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	New Body #2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	New Body #2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	-366.58236	628.36739	-1.67329	-0.12304	0.04051	1.35408	1.05946	0.99972	-0.02363	-0.00071	0.02363	0.99972	-0.00215	0.00076	0.00213	1.00000		-2145.69470	-1221.78733	772.59813	0.44354	-0.06018	-0.75493	0.17293	0.99991	0.01318	0.00105	-0.01318	0.99988	0.00774	-0.00095	-0.00775	0.99997	
2	0.01000	-366.67427	628.39288	-1.67893	-0.11313	0.05511	1.35579	1.04278	0.99972	-0.02366	-0.00096	0.02366	0.99972	-0.00197	0.00101	0.00195	1.00000		-2145.72013	-1221.78320	772.58115	0.43833	-0.05329	-0.75455	0.17380	0.99991	0.01317	0.00093	-0.01318	0.99988	0.00765	-0.00083	-0.00766	0.99997	
3	0.01500	-366.66770	628.42622	-1.68237	-0.09995	0.05493	1.35433	1.05036	0.99972	-0.02364	-0.00096	0.02363	0.99972	-0.00174	0.00100	0.00172	1.00000		-2145.71660	-1221.80314	772.57288	0.43047	-0.05602	-0.75499	0.15021	0.99991	0.01318	0.00098	-0.01318	0.99988	0.00751	-0.00088	-0.00753	0.99997	
4	0.02000	-366.68676	628.42655	-1.67480	-0.09093	0.05964	1.35118	1.04647	0.99972	-0.02358	-0.00104	0.02358	0.99972	-0.00159	0.00108	0.00156	1.00000		-2145.71259	-1221.81966	772.58172	0.42047	-0.05583	-0.75736	0.16284	0.99991	0.01322	0.00097	-0.01322	0.99989	0.00734	-0.00088	-0.00735	0.99997	
5	0.02500	-366.67004	628.47611	-1.65366	-0.07515	0.05502	1.35072	1.03034	0.99972	-0.02357	-0.00096	0.02357	0.99972	-0.00131	0.00099	0.00129	1.00000		-2145.72082	-1221.83250	772.57785	0.41426	-0.05589	-0.75576	0.15463	0.99991	0.01319	0.00098	-0.01320	0.99989	0.00723	-0.00088	-0.00724	0.99997	
6	0.03000	-366.71014	628.55425	-1.61640	-0.05287	0.05787	1.33670	1.00588	0.99973	-0.02333	-0.00101	0.02333	0.99973	-0.00092	0.00103	0.00090	1.00000		-2145.67801	-1221.84558	772.58235	0.40510	-0.06007	-0.75225	0.14765	0.99991	0.01313	0.00105	-0.01314	0.99989	0.00707	-0.00096	-0.00708	0.99997	
7	0.03500	-366.70655	628.56797	-1.62446	-0.04511	0.05758	1.33351	0.99984	0.99973	-0.02327	-0.00100	0.02327	0.99973	-0.00079	0.00102	0.00076	1.00000		-2145.71771	-1221.86169	772.58275	0.39709	-0.05502	-0.75154	0.14629	0.99991	0.01312	0.00096	-0.01312	0.99989	0.00693	-0.00087	-0.00694	0.99998	
8	0.04000	-366.73185	628.60699	-1.61699	-0.03249	0.06188	1.33668	1.01406	0.99973	-0.02333	-0.00108	0.02333	0.99973	-0.00057	0.00109	0.00054	1.00000		-2145.70032	-1221.87321	772.57008	0.38934	-0.05580	-0.75511	0.15150	0.99991	0.01318	0.00097	-0.01319	0.99989	0.00680	-0.00088	-0.00681	0.99998	
9	0.04500	-366.73414	628.62214	-1.60320	-0.02296	0.06428	1.33147	1.01218	0.99973	-0.02324	-0.00112	0.02324	0.99973	-0.00040	0.00113	0.00037	1.00000		-2145.71071	-1221.88982	772.57906	0.38232	-0.05521	-0.75586	0.16017	0.99991	0.01319	0.00096	-0.01320	0.99989	0.00667	-0.00088	-0.00668	0.99998	
10	0.05000	-366.72003	628.64615	-1.60191	-0.01295	0.06099	1.33063	1.01175	0.99973	-0.02322	-0.00106	0.02322	0.99973	-0.00023	0.00107	0.00020	1.00000		-2145.70773	-1221.89856	772.57490	0.37403	-0.05498	-0.75584	0.14336	0.99991	0.01319	0.00096	-0.01320	0.99989	0.00653	-0.00087	-0.00654	0.99998	
11	0.05500	-366.92366	628.52884	-1.46191	-0.01077	0.07398	1.33888	1.07435	0.99973	-0.02337	-0.00129	0.02337	0.99973	-0.00019	0.00130	0.00016	1.00000		-2145.68413	-1221.92535	772.58359	0.36392	-0.05492	-0.75238	0.15241	0.99991	0.01313	0.00096	-0.01314	0.99989	0.00635	-0.00087	-0.00636	0.99998	
12	0.06000	-366.97378	628.53170	-1.44024	-0.00248	0.07551	1.34072	1.06539	0.99973	-0.02340	-0.00132	0.02340	0.99973	-0.00004	0.00132	0.00001	1.00000		-2145.73266	-1221.93348	772.58839	0.35751	-0.05262	-0.75455	0.14645	0.99991	0.01317	0.00092	-0.01317	0.99989	0.00624	-0.00084	-0.00625	0.99998	
13	0.06500	-367.00257	628.56277	-1.44556	0.00485	0.07989	1.34155	1.08224	0.99972	-0.02341	-0.00139	0.02341	0.99973	0.00008	0.00139	-0.00012	1.00000		-2145.68690	-1221.95353	772.57996	0.34796	-0.05522	-0.75405	0.14022	0.99991	0.01316	0.00096	-0.01317	0.99989	0.00607	-0.00088	-0.00609	0.99998	
