NO_OF_FRAMES	12039
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-03, 15:08:43	23340.03099622
DATA_INCLUDED	6D
BODY_NAMES	Ice 1	Ice 2
Frame	Time	Ice 1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	34.87394	-69.63234	0.09760	0.90019	-0.10401	-0.09645	1.03134	1.00000	0.00168	0.00182	-0.00171	0.99988	0.01571	-0.00179	-0.01571	0.99987		-56.88641	-124.19420	-0.54089	-0.41911	0.30530	-2.11866	0.19540	0.99930	0.03697	-0.00533	-0.03701	0.99929	-0.00731	0.00505	0.00751	0.99996	
2	0.01000	34.78959	-69.68926	0.07379	0.88141	-0.08397	-0.09115	0.98926	1.00000	0.00159	0.00147	-0.00161	0.99988	0.01538	-0.00144	-0.01539	0.99988		-56.96671	-124.20365	-0.54938	-0.42185	0.32149	-2.11526	0.17675	0.99930	0.03691	-0.00561	-0.03695	0.99929	-0.00736	0.00534	0.00756	0.99996	
3	0.01500	34.78631	-69.69214	0.07761	0.87862	-0.08562	-0.09507	0.99205	1.00000	0.00166	0.00149	-0.00168	0.99988	0.01533	-0.00147	-0.01534	0.99988		-57.00991	-124.20275	-0.54813	-0.42971	0.32123	-2.11499	0.16601	0.99930	0.03690	-0.00561	-0.03695	0.99929	-0.00750	0.00533	0.00770	0.99996	
4	0.02000	34.82823	-69.72838	0.07473	0.86965	-0.08997	-0.09064	0.99733	1.00000	0.00158	0.00157	-0.00161	0.99988	0.01518	-0.00155	-0.01518	0.99988		-56.97041	-124.21356	-0.53590	-0.43284	0.31940	-2.11335	0.16092	0.99930	0.03688	-0.00557	-0.03692	0.99929	-0.00755	0.00529	0.00775	0.99996	
5	0.02500	34.76088	-69.72622	0.08463	0.86353	-0.08771	-0.09647	0.98707	1.00000	0.00168	0.00153	-0.00171	0.99988	0.01507	-0.00151	-0.01507	0.99989		-56.97013	-124.21804	-0.52234	-0.43965	0.31368	-2.12072	0.17149	0.99930	0.03700	-0.00547	-0.03705	0.99928	-0.00767	0.00519	0.00787	0.99996	
6	0.03000	34.82585	-69.73031	0.09028	0.86105	-0.09447	-0.08914	1.00016	1.00000	0.00156	0.00165	-0.00158	0.99989	0.01503	-0.00163	-0.01503	0.99989		-57.03517	-124.21783	-0.53390	-0.44218	0.31953	-2.11390	0.16744	0.99930	0.03689	-0.00558	-0.03693	0.99929	-0.00772	0.00529	0.00792	0.99995	
7	0.03500	34.81593	-69.75676	0.09657	0.84976	-0.09675	-0.08961	0.98914	1.00000	0.00156	0.00169	-0.00159	0.99989	0.01483	-0.00167	-0.01483	0.99989		-56.97758	-124.22140	-0.50078	-0.44668	0.31672	-2.11314	0.17282	0.99930	0.03687	-0.00553	-0.03691	0.99929	-0.00780	0.00524	0.00799	0.99995	
8	0.04000	34.75977	-69.76277	0.09680	0.84259	-0.09183	-0.09292	0.98026	1.00000	0.00162	0.00160	-0.00165	0.99989	0.01471	-0.00158	-0.01471	0.99989		-57.03771	-124.20575	-0.50786	-0.45149	0.31556	-2.11362	0.16449	0.99930	0.03688	-0.00551	-0.03692	0.99929	-0.00788	0.00521	0.00808	0.99995	
9	0.04500	34.81906	-69.78036	0.10456	0.83736	-0.09993	-0.08828	0.98934	1.00000	0.00154	0.00174	-0.00157	0.99989	0.01461	-0.00172	-0.01462	0.99989		-57.02723	-124.22543	-0.50361	-0.45478	0.31540	-2.11422	0.15514	0.99930	0.03689	-0.00550	-0.03693	0.99929	-0.00794	0.00521	0.00813	0.99995	
10	0.05000	34.77385	-69.80489	0.10494	0.82782	-0.09589	-0.09253	0.98925	1.00000	0.00161	0.00167	-0.00164	0.99989	0.01445	-0.00165	-0.01445	0.99989		-57.02273	-124.20873	-0.49082	-0.45724	0.31570	-2.11481	0.17200	0.99930	0.03690	-0.00551	-0.03694	0.99929	-0.00798	0.00521	0.00818	0.99995	
11	0.05500	34.52785	-69.98083	0.18365	0.81760	-0.09747	-0.08600	1.05453	1.00000	0.00150	0.00170	-0.00153	0.99990	0.01427	-0.00168	-0.01427	0.99990		-57.03904	-124.20604	-0.49039	-0.46106	0.31560	-2.11695	0.16542	0.99930	0.03694	-0.00551	-0.03698	0.99928	-0.00805	0.00521	0.00824	0.99995	
12	0.06000	34.51426	-70.01759	0.20812	0.80624	-0.09931	-0.08475	1.06330	1.00000	0.00148	0.00173	-0.00150	0.99990	0.01407	-0.00171	-0.01407	0.99990		-57.05080	-124.21049	-0.48619	-0.46199	0.31836	-2.11705	0.16223	0.99930	0.03694	-0.00556	-0.03698	0.99928	-0.00806	0.00525	0.00826	0.99995	
13	0.06500	34.51733	-70.06443	0.21872	0.79386	-0.10224	-0.08548	1.06333	1.00000	0.00149	0.00178	-0.00152	0.99990	0.01386	-0.00176	-0.01386	0.99990		-57.06945	-124.19307	-0.46913	-0.46457	0.31927	-2.11760	0.16760	0.99930	0.03695	-0.00557	-0.03699	0.99928	-0.00811	0.00527	0.00831	0.99995	
14	0.07000	34.47007	-70.09204	0.22500	0.78316	-0.09927	-0.08188	1.05695	1.00000	0.00143	0.00173	-0.00145	0.99991	0.01367	-0.00171	-0.01367	0.99991		-57.10111	-124.18334	-0.47745	-0.46540	0.32471	-2.11919	0.16381	0.99930	0.03698	-0.00567	-0.03702	0.99928	-0.00812	0.00536	0.00833	0.99995	
15	0.07500	34.44733	-70.13143	0.24316	0.76900	-0.09919	-0.08030	1.07916	1.00000	0.00140	0.00173	-0.00142	0.99991	0.01342	-0.00171	-0.01342	0.99991		-57.10158	-124.18648	-0.46871	-0.46821	0.32529	-2.11573	0.17471	0.99930	0.03692	-0.00568	-0.03696	0.99928	-0.00817	0.00537	0.00838	0.99995	
16	0.08000	34.46807	-70.14070	0.25187	0.75849	-0.10085	-0.07943	1.07928	1.00000	0.00139	0.00176	-0.00141	0.99991	0.01324	-0.00174	-0.01324	0.99991		-57.10680	-124.17409	-0.47298	-0.46862	0.32490	-2.11826	0.16870	0.99930	0.03696	-0.00567	-0.03701	0.99928	-0.00818	0.00536	0.00838	0.99995	
17	0.08500	34.46856	-70.19481	0.27108	0.74397	-0.10594	-0.07951	1.08148	1.00000	0.00139	0.00185	-0.00141	0.99991	0.01298	-0.00183	-0.01299	0.99991		-57.14864	-124.15750	-0.48496	-0.47039	0.32826	-2.11658	0.16704	0.99930	0.03693	-0.00573	-0.03698	0.99928	-0.00821	0.00542	0.00842	0.99995	
18	0.09000	34.39061	-70.21029	0.27988	0.73461	-0.10362	-0.08063	1.08498	1.00000	0.00141	0.00181	-0.00143	0.99992	0.01282	-0.00179	-0.01282	0.99992		-57.16005	-124.16204	-0.46819	-0.47134	0.33088	-2.11664	0.16513	0.99930	0.03693	-0.00577	-0.03698	0.99928	-0.00823	0.00547	0.00843	0.99995	
19	0.09500	34.45077	-70.24578	0.30639	0.71849	-0.10720	-0.07710	1.09578	1.00000	0.00135	0.00187	-0.00137	0.99992	0.01254	-0.00185	-0.01254	0.99992		-57.15317	-124.16540	-0.45609	-0.47171	0.33422	-2.11672	0.17459	0.99930	0.03693	-0.00583	-0.03698	0.99928	-0.00823	0.00552	0.00844	0.99995	
20	0.10000	34.37344	-70.27777	0.30087	0.70525	-0.10688	-0.08062	1.08006	1.00000	0.00141	0.00187	-0.00143	0.99992	0.01231	-0.00185	-0.01231	0.99992		-57.16689	-124.14983	-0.46012	-0.47057	0.33298	-2.11806	0.16681	0.99930	0.03696	-0.00581	-0.03701	0.99928	-0.00821	0.00550	0.00842	0.99995	
21	0.10500	34.37217	-70.32639	0.32701	0.68932	-0.10476	-0.07900	1.08609	1.00000	0.00138	0.00183	-0.00140	0.99993	0.01203	-0.00181	-0.01203	0.99993		-57.17184	-124.14277	-0.45210	-0.47182	0.33714	-2.11889	0.16245	0.99930	0.03697	-0.00588	-0.03702	0.99928	-0.00823	0.00558	0.00845	0.99995	
22	0.11000	34.38956	-70.34164	0.32714	0.67765	-0.10568	-0.07906	1.09316	1.00000	0.00138	0.00184	-0.00140	0.99993	0.01183	-0.00183	-0.01183	0.99993		-57.19243	-124.11293	-0.45648	-0.46810	0.33999	-2.12148	0.17409	0.99930	0.03702	-0.00593	-0.03707	0.99928	-0.00817	0.00563	0.00838	0.99995	
23	0.11500	34.36195	-70.36660	0.34256	0.66650	-0.10772	-0.07855	1.08953	1.00000	0.00137	0.00188	-0.00139	0.99993	0.01163	-0.00186	-0.01163	0.99993		-57.20666	-124.14838	-0.46017	-0.47197	0.34250	-2.11556	0.17138	0.99930	0.03691	-0.00598	-0.03696	0.99928	-0.00824	0.00567	0.00845	0.99995	
24	0.12000	34.36296	-70.39694	0.35740	0.64829	-0.10602	-0.08139	1.08685	1.00000	0.00142	0.00185	-0.00144	0.99993	0.01131	-0.00183	-0.01132	0.99993		-57.24775	-124.11568	-0.46879	-0.46800	0.34522	-2.11756	0.15271	0.99930	0.03695	-0.00603	-0.03700	0.99928	-0.00817	0.00572	0.00839	0.99995	
25	0.12500	34.33553	-70.43534	0.37391	0.63462	-0.10227	-0.07986	1.08494	1.00000	0.00139	0.00179	-0.00141	0.99994	0.01108	-0.00177	-0.01108	0.99994		-57.22840	-124.11558	-0.46144	-0.46588	0.35244	-2.12001	0.17319	0.99930	0.03699	-0.00615	-0.03704	0.99928	-0.00813	0.00585	0.00835	0.99995	
26	0.13000	34.28594	-70.45572	0.37998	0.62146	-0.09885	-0.07845	1.08509	1.00000	0.00137	0.00173	-0.00139	0.99994	0.01085	-0.00171	-0.01085	0.99994		-57.26419	-124.09015	-0.46568	-0.46233	0.35620	-2.11812	0.17556	0.99930	0.03696	-0.00622	-0.03701	0.99928	-0.00807	0.00591	0.00829	0.99995	
27	0.13500	34.31724	-70.47517	0.37999	0.60829	-0.10112	-0.08016	1.09748	1.00000	0.00140	0.00176	-0.00142	0.99994	0.01062	-0.00175	-0.01062	0.99994		-57.26856	-124.10425	-0.46585	-0.46214	0.35894	-2.12007	0.17700	0.99930	0.03699	-0.00626	-0.03704	0.99928	-0.00807	0.00596	0.00829	0.99995	
28	0.14000	34.32444	-70.54030	0.37784	0.59105	-0.10720	-0.07960	1.08811	1.00000	0.00139	0.00187	-0.00141	0.99995	0.01032	-0.00186	-0.01032	0.99995		-57.27804	-124.08470	-0.46669	-0.45633	0.36315	-2.11838	0.17141	0.99930	0.03696	-0.00634	-0.03701	0.99928	-0.00796	0.00604	0.00819	0.99995	
29	0.14500	34.26659	-70.54257	0.39133	0.57773	-0.10311	-0.07797	1.09825	1.00000	0.00136	0.00180	-0.00138	0.99995	0.01008	-0.00179	-0.01009	0.99995		-57.30318	-124.08214	-0.47065	-0.45608	0.36402	-2.11565	0.15678	0.99930	0.03692	-0.00635	-0.03697	0.99928	-0.00796	0.00605	0.00819	0.99995	
