#
# Run File created 2/07/2013 5:05:28 PM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.8757(x - zero)
# Ch1_Phase WP                        Moving          5.6387(x - zero)
# Ch2_WP1                             Moving          14.274(x - zero)
# Ch3_WP2                             Moving          13.546(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 -0.189677 0.119099 0.169585 -0.184352 
1.000000 5.875686 5.638686 14.273848 13.545888 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 -0.512956 0.166765 0.176756 -0.093005 
0.005000 -0.527782 0.162897 0.175467 -0.093328 
0.010000 -0.541963 0.163219 0.176433 -0.090427 
0.015000 -0.557433 0.163542 0.179334 -0.084948 
0.020000 -0.582894 0.157418 0.180623 -0.087526 
0.025000 -0.587407 0.158707 0.175789 -0.094939 
0.030000 -0.597720 0.159674 0.176433 -0.091716 
0.035000 -0.611901 0.159674 0.177078 -0.092361 
0.040000 -0.625115 0.159352 0.177078 -0.094294 
0.045000 -0.645098 0.156129 0.178690 -0.092038 
0.050000 -0.667336 0.154840 0.178367 -0.093005 
0.055000 -0.663791 0.157740 0.178045 -0.095584 
0.060000 -0.677972 0.155162 0.176433 -0.102030 
0.065000 -0.690219 0.155807 0.175789 -0.103319 
0.070000 -0.702466 0.157096 0.178367 -0.099129 
0.075000 -0.724382 0.153228 0.181590 -0.099129 
0.080000 -0.727605 0.155484 0.176756 -0.110087 
0.085000 -0.735018 0.156773 0.175144 -0.116211 
0.090000 -0.744042 0.158063 0.176433 -0.110732 
0.095000 -0.754034 0.158385 0.179979 -0.110087 
0.100000 -0.773371 0.155484 0.182235 -0.114921 
0.105000 -0.784329 0.155484 0.177400 -0.122012 
0.110000 -0.783685 0.157740 0.178367 -0.128458 
0.115000 -0.793676 0.157740 0.179979 -0.125557 
0.120000 -0.799800 0.158063 0.179979 -0.131358 
0.125000 -0.810435 0.157418 0.182557 -0.131681 
0.130000 -0.831385 0.153551 0.184169 -0.137804 
0.135000 -0.821716 0.157096 0.182879 -0.141350 
0.140000 -0.828806 0.156773 0.180623 -0.148762 
0.145000 -0.833963 0.156451 0.179979 -0.153919 
0.150000 -0.846210 0.154517 0.185458 -0.151018 
0.155000 -0.854912 0.150972 0.184813 -0.156175 
0.160000 -0.846855 0.152906 0.182879 -0.166811 
0.165000 -0.851367 0.151617 0.183524 -0.171001 
0.170000 -0.854912 0.152261 0.183846 -0.171001 
0.175000 -0.856524 0.150328 0.188358 -0.170678 
0.180000 -0.874250 0.142915 0.188681 -0.178736 
0.185000 -0.861680 0.142915 0.184491 -0.190338 
0.190000 -0.860391 0.141948 0.186102 -0.187760 
0.195000 -0.860069 0.141948 0.187392 -0.190338 
0.200000 -0.859424 0.139692 0.187392 -0.195173 
0.205000 -0.869738 0.133891 0.189003 -0.199040 
0.210000 -0.862325 0.133568 0.187069 -0.206776 
0.215000 -0.852334 0.131312 0.187392 -0.207742 
0.220000 -0.847822 0.126478 0.186425 -0.214833 
0.225000 -0.843632 0.123577 0.186747 -0.216444 
0.230000 -0.846532 0.120999 0.190937 -0.213866 
0.235000 -0.842020 0.115520 0.188358 -0.224502 
0.240000 -0.820749 0.113586 0.186102 -0.228692 
0.245000 -0.814625 0.108107 0.185458 -0.233204 
0.250000 -0.803989 0.106818 0.186102 -0.233204 
0.255000 -0.795932 0.101983 0.189648 -0.229336 
0.260000 -0.800122 0.091348 0.188681 -0.239327 
0.265000 -0.772727 0.090703 0.184491 -0.247062 
0.270000 -0.761446 0.088447 0.184813 -0.247707 
0.275000 -0.746298 0.082968 0.185135 -0.248352 
0.280000 -0.734373 0.077489 0.186102 -0.250285 
0.285000 -0.733729 0.070076 0.183524 -0.258021 
0.290000 -0.703433 0.070398 0.180946 -0.257376 
0.295000 -0.685707 0.065886 0.180946 -0.257698 
0.300000 -0.667336 0.060407 0.179656 -0.261566 
0.305000 -0.648965 0.057507 0.180301 -0.261566 
0.310000 -0.638007 0.051383 0.181268 -0.260277 
0.315000 -0.618347 0.047193 0.179656 -0.263822 
0.320000 -0.585795 0.044292 0.176433 -0.266722 
0.325000 -0.566135 0.042681 0.174500 -0.267689 
0.330000 -0.545186 0.038169 0.175144 -0.266400 
0.335000 -0.522625 0.033657 0.177400 -0.263822 
0.340000 -0.511022 0.027533 0.173533 -0.272201 
0.345000 -0.470736 0.029467 0.169665 -0.272846 
0.350000 -0.446563 0.025277 0.169021 -0.270590 
0.355000 -0.419813 0.026244 0.169343 -0.270268 
