#
# Run File created 4/07/2013 10:13:41 AM
#

#
# 
#

# Ch0_Incident WP                     Moving          5.7187(x - zero)
# Ch1_Phase WP                        Moving          5.5720(x - zero)
# Ch2_WP1                             Moving          13.807(x - zero)
# Ch3_WP2                             Moving          13.564(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Calibration" F=POINT 
0.000000 0.195169 0.512186 0.261274 -0.062494 
1.000000 5.718694 5.571992 13.806865 13.563726 

TITLE="Data"
VARIABLES="Time" "Ch0_Incident WP" "Ch1_Phase WP" "Ch2_WP1" "Ch3_WP2" 
ZONE T="Data" F=POINT 
0.000000 0.298906 0.458764 0.278923 -0.069155 
0.005000 0.392693 0.460053 0.279246 -0.067222 
0.010000 0.484870 0.462631 0.279568 -0.069478 
0.015000 0.575757 0.465532 0.278923 -0.073990 
0.020000 0.668256 0.468110 0.278601 -0.073345 
0.025000 0.759787 0.470689 0.279568 -0.070122 
0.030000 0.848741 0.473912 0.279568 -0.072701 
0.035000 0.937694 0.475846 0.281502 -0.077857 
0.040000 1.022457 0.477457 0.281179 -0.077213 
0.045000 1.103676 0.480035 0.281179 -0.072701 
0.050000 1.182638 0.481002 0.282146 -0.076568 
0.055000 1.256443 0.482291 0.281502 -0.078824 
0.060000 1.327026 0.484870 0.281502 -0.079147 
0.065000 1.398575 0.487126 0.281502 -0.073990 
0.070000 1.463034 0.491638 0.281824 -0.076891 
0.075000 1.522336 0.493894 0.281824 -0.081403 
0.080000 1.579060 0.496795 0.281824 -0.080113 
0.085000 1.630305 0.499373 0.282146 -0.078180 
0.090000 1.674782 0.503241 0.282469 -0.078180 
0.095000 1.714102 0.504207 0.282146 -0.083014 
0.100000 1.748909 0.507753 0.281179 -0.082370 
0.105000 1.777271 0.510331 0.282146 -0.077535 
0.110000 1.803055 0.513554 0.283113 -0.079147 
0.115000 1.822715 0.514843 0.281502 -0.081725 
0.120000 1.837218 0.518066 0.280857 -0.081725 
0.125000 1.847531 0.520322 0.280857 -0.079791 
0.130000 1.853333 0.522901 0.280857 -0.079147 
0.135000 1.855267 0.525479 0.279890 -0.082370 
0.140000 1.851399 0.527413 0.279246 -0.081403 
0.145000 1.846565 0.528702 0.278279 -0.077535 
0.150000 1.836573 0.532892 0.277312 -0.077535 
0.155000 1.822070 0.533536 0.277312 -0.080436 
0.160000 1.803377 0.537726 0.275056 -0.076891 
0.165000 1.782428 0.539982 0.276023 -0.074312 
0.170000 1.755355 0.543205 0.275378 -0.074957 
0.175000 1.724093 0.543527 0.274089 -0.078180 
0.180000 1.687351 0.544817 0.272800 -0.074957 
0.185000 1.646420 0.546428 0.271188 -0.070767 
0.190000 1.599687 0.548684 0.270544 -0.070767 
0.195000 1.545864 0.549329 0.269899 -0.073023 
0.200000 1.488495 0.552229 0.268288 -0.071412 
0.205000 1.423070 0.553841 0.267321 -0.066577 
0.210000 1.355388 0.555452 0.265709 -0.067222 
0.215000 1.283194 0.558675 0.264098 -0.069155 
0.220000 1.205843 0.558998 0.261842 -0.067544 
0.225000 1.123336 0.560931 0.260875 -0.063032 
0.230000 1.037928 0.562221 0.258941 -0.063999 
0.235000 0.947685 0.562865 0.258296 -0.066899 
0.240000 0.856476 0.562221 0.255718 -0.063354 
0.245000 0.761399 0.564154 0.253462 -0.059164 
0.250000 0.665677 0.565443 0.253140 -0.060131 
0.255000 0.569311 0.566088 0.251528 -0.063032 
0.260000 0.472623 0.567055 0.248628 -0.059487 
0.265000 0.377868 0.568989 0.247016 -0.055297 
0.270000 0.281824 0.570600 0.246049 -0.054974 
0.275000 0.185458 0.571245 0.244115 -0.057231 
0.280000 0.090381 0.571567 0.241215 -0.057231 
0.285000 -0.002763 0.572212 0.239926 -0.053041 
0.290000 -0.092361 0.573179 0.237347 -0.053363 
0.295000 -0.184215 0.573501 0.236380 -0.055941 
0.300000 -0.271557 0.572534 0.234124 -0.055619 
0.305000 -0.356965 0.574468 0.231546 -0.048851 
0.310000 -0.439473 0.573823 0.231224 -0.050462 
0.315000 -0.522625 0.575112 0.229612 -0.052718 
0.320000 -0.600621 0.573179 0.227678 -0.049173 
0.325000 -0.676038 0.573823 0.225745 -0.046917 
0.330000 -0.747910 0.574145 0.225422 -0.048529 
0.335000 -0.819460 0.573823 0.223489 -0.052396 
0.340000 -0.885853 0.573823 0.221232 -0.052074 
0.345000 -0.948700 0.573501 0.220588 -0.049495 
0.350000 -1.008647 0.573179 0.219299 -0.050462 
0.355000 -1.063115 0.572856 0.218332 -0.054974 
0.360000 -1.113716 0.568022 0.216398 -0.054330 
0.365000 -1.162060 0.568666 0.215431 -0.049818 
0.370000 -1.204604 0.568022 0.214142 -0.051429 
0.375000 -1.242957 0.565121 0.213497 -0.056264 
0.380000 -1.280988 0.562865 0.212531 -0.055619 
0.385000 -1.310639 0.562865 0.211886 -0.052074 
0.390000 -1.337712 0.561898 0.211886 -0.053041 
0.395000 -1.359950 0.560609 0.211564 -0.057553 
0.400000 -1.377999 0.557064 0.211241 -0.057875 
0.405000 -1.390891 0.555452 0.209952 -0.054008 
0.410000 -1.401204 0.552874 0.210919 -0.054652 
0.415000 -1.405394 0.548362 0.210274 -0.059809 
0.420000 -1.406039 0.544494 0.209952 -0.060131 
0.425000 -1.404750 0.542883 0.209952 -0.056264 
0.430000 -1.396370 0.539982 0.210274 -0.060776 
0.435000 -1.385734 0.537082 0.211241 -0.063676 
0.440000 -1.372842 0.533859 0.209630 -0.063999 
0.445000 -1.355116 0.531280 0.210274 -0.061420 
0.450000 -1.334167 0.527090 0.210597 -0.061743 
0.455000 -1.309995 0.522578 0.211241 -0.066255 
0.460000 -1.283244 0.518711 0.210597 -0.066577 
0.465000 -1.254560 0.515165 0.211564 -0.064966 
0.470000 -1.225231 0.511620 0.213497 -0.067544 
0.475000 -1.189456 0.505819 0.213175 -0.070122 
0.480000 -1.153358 0.501629 0.213497 -0.071412 
0.485000 -1.113071 0.497117 0.213175 -0.068833 
0.490000 -1.072140 0.494861 0.214142 -0.068833 
0.495000 -1.027018 0.490671 0.215753 -0.073990 
0.500000 -0.979641 0.485514 0.215431 -0.073345 
0.505000 -0.929040 0.481002 0.216720 -0.071089 
0.510000 -0.875861 0.476490 0.218332 -0.072378 
0.515000 -0.821716 0.470689 0.218654 -0.075601 
0.520000 -0.761769 0.467144 0.219621 -0.076568 
0.525000 -0.701177 0.461342 0.220588 -0.073023 
0.530000 -0.635751 0.457797 0.222522 -0.072701 
0.535000 -0.568391 0.452640 0.222522 -0.076568 
0.540000 -0.498453 0.448128 0.222199 -0.075601 
0.545000 -0.425614 0.443616 0.224455 -0.073023 
0.550000 -0.349230 0.442005 0.225745 -0.073345 
0.555000 -0.273168 0.436203 0.227356 -0.077213 
0.560000 -0.191305 0.432980 0.228645 -0.076891 
0.565000 -0.106219 0.429435 0.228645 -0.074957 
0.570000 -0.020167 0.425890 0.229612 -0.073668 
0.575000 0.066531 0.421700 0.231546 -0.076568 
0.580000 0.155484 0.418155 0.231868 -0.075924 
0.585000 0.245082 0.415576 0.232835 -0.073345 
0.590000 0.336292 0.412998 0.235413 -0.074312 
0.595000 0.427824 0.409130 0.235736 -0.075601 
0.600000 0.518711 0.406230 0.237025 -0.077213 
0.605000 0.607986 0.403007 0.237992 -0.073345 
0.610000 0.697584 0.401073 0.240892 -0.074634 
0.615000 0.784604 0.399462 0.241215 -0.075279 
0.620000 0.868401 0.397206 0.242182 -0.075601 
0.625000 0.951230 0.395916 0.243793 -0.073023 
0.630000 1.030515 0.394949 0.246372 -0.070445 
0.635000 1.109799 0.394949 0.248305 -0.075924 
0.640000 1.183282 0.392371 0.248950 -0.072701 
0.645000 1.255799 0.392371 0.251206 -0.071089 
0.650000 1.322514 0.393660 0.252495 -0.070445 
0.655000 1.387295 0.392371 0.254429 -0.072378 
0.660000 1.449820 0.391727 0.256685 -0.073990 
0.665000 1.507833 0.392693 0.257974 -0.070122 
0.670000 1.562623 0.392371 0.260230 -0.071412 
0.675000 1.614835 0.393983 0.261197 -0.073990 
0.680000 1.662212 0.393338 0.263131 -0.073023 
0.685000 1.705077 0.395594 0.264742 -0.069155 
0.690000 1.743430 0.397206 0.266998 -0.068833 
0.695000 1.776627 0.398817 0.268932 -0.071089 
0.700000 1.804989 0.401073 0.270221 -0.070122 
0.705000 1.830772 0.403007 0.273122 -0.069800 
0.710000 1.853333 0.404941 0.275378 -0.069155 
0.715000 1.869770 0.407519 0.276345 -0.071734 
0.720000 1.882339 0.409453 0.277634 -0.071412 
0.725000 1.891364 0.412998 0.280212 -0.068189 
0.730000 1.894909 0.414609 0.282146 -0.069155 
0.735000 1.894909 0.418477 0.285047 -0.070445 
0.740000 1.889107 0.420411 0.286658 -0.069478 
0.745000 1.879439 0.424278 0.288270 -0.066899 
0.750000 1.864935 0.428790 0.290204 -0.067544 
0.755000 1.845275 0.432336 0.292137 -0.068833 
0.760000 1.819170 0.433947 0.293427 -0.068189 
0.765000 1.788552 0.437815 0.295683 -0.065610 
0.770000 1.752132 0.440715 0.297939 -0.065288 
0.775000 1.708945 0.445872 0.299872 -0.066899 
0.780000 1.658667 0.448773 0.300839 -0.066577 
0.785000 1.604521 0.453607 0.303418 -0.063354 
0.790000 1.544897 0.458119 0.305674 -0.063676 
0.795000 1.477860 0.461665 0.306641 -0.064966 
0.800000 1.406955 0.464565 0.307285 -0.063999 
0.805000 1.329926 0.469077 0.309219 -0.063032 
0.810000 1.250320 0.473589 0.311153 -0.061743 
0.815000 1.167812 0.478746 0.312120 -0.063032 
0.820000 1.081437 0.481325 0.313409 -0.063999 
0.825000 0.992162 0.485514 0.314376 -0.059809 
0.830000 0.899985 0.490671 0.316310 -0.060453 
0.835000 0.808454 0.493572 0.318566 -0.061098 
0.840000 0.712410 0.498406 0.318566 -0.059164 
0.845000 0.617011 0.500985 0.320499 -0.057875 
0.850000 0.521934 0.507108 0.321466 -0.054974 
0.855000 0.426212 0.509686 0.322433 -0.056264 
0.860000 0.328879 0.514843 0.322433 -0.055619 
0.865000 0.233157 0.518711 0.322755 -0.052396 
0.870000 0.138403 0.521934 0.324367 -0.049818 
0.875000 0.043648 0.525801 0.325011 -0.050140 
0.880000 -0.050462 0.529024 0.324689 -0.051429 
0.885000 -0.140383 0.532892 0.325011 -0.048529 
0.890000 -0.230625 0.539015 0.326301 -0.045628 
0.895000 -0.319579 0.540949 0.326623 -0.047562 
0.900000 -0.405954 0.545783 0.325656 -0.046917 
0.905000 -0.492007 0.547395 0.326301 -0.043694 
0.910000 -0.573548 0.551263 0.325656 -0.044016 
0.915000 -0.652510 0.554163 0.326301 -0.045306 
0.920000 -0.729861 0.558353 0.324367 -0.044016 
0.925000 -0.805601 0.560931 0.323722 -0.040793 
0.930000 -0.875861 0.565443 0.324367 -0.037248 
0.935000 -0.943544 0.565766 0.323722 -0.038215 
0.940000 -1.006391 0.569311 0.322755 -0.038215 
0.945000 -1.068594 0.572856 0.321789 -0.034670 
0.950000 -1.122418 0.575757 0.322111 -0.033703 
0.955000 -1.177531 0.577691 0.320177 -0.034670 
0.960000 -1.225875 0.580591 0.317921 -0.034348 
0.965000 -1.269707 0.581558 0.316954 -0.031125 
0.970000 -1.309672 0.585748 0.316632 -0.029191 
0.975000 -1.346414 0.587037 0.315020 -0.030158 
0.980000 -1.376388 0.589938 0.313409 -0.029513 
0.985000 -1.404750 0.592194 0.312120 -0.028224 
0.990000 -1.429567 0.595417 0.311153 -0.025323 
0.995000 -1.445681 0.594450 0.310186 -0.027579 
1.000000 -1.460829 0.597351 0.306641 -0.026612 
1.005000 -1.469854 0.598318 0.306641 -0.022745 
1.010000 -1.475655 0.600574 0.304385 -0.022745 
1.015000 -1.475010 0.600251 0.304385 -0.025001 
1.020000 -1.474366 0.601540 0.300839 -0.022745 
1.025000 -1.464052 0.603152 0.299228 -0.023067 
1.030000 -1.450838 0.604441 0.298583 -0.022423 
